"state_name","state_abbrv","year","population","category","unemp_rate","crime_rate","murder_rate","rape_rate","robbery_rate","assault_rate"
"Indiana","IN",1981,5466000,"5M+ populations",9.9,341.6,7.1,29.6,129.0,176.0
"Iowa","IA",1981,2897000,"1M-5M populations",6.6,204.2,2.6,13.4,53.6,134.5
"Kansas","KS",1981,2381000,"1M-5M populations",4.3,369.4,6.3,30.8,109.7,222.6
"Kentucky","KY",1981,3661000,"1M-5M populations",8.6,289.5,8.4,20.9,100.7,159.5
"Louisiana","LA",1981,4305000,"1M-5M populations",8.4,638.3,15.6,41.4,202.0,379.2
"Maine","ME",1981,1132000,"1M-5M populations",7.4,195.6,3.2,12.8,32.5,147.1
"Maryland","MD",1981,4261000,"1M-5M populations",7.3,887.1,9.9,38.8,424.4,414.0
"Massachusetts","MA",1981,5770000,"5M+ populations",6.5,628.6,3.6,27.4,270.9,326.7
"Michigan","MI",1981,9201000,"5M+ populations",12.4,641.9,9.4,47.5,257.5,327.6
"Minnesota","MN",1981,4090000,"1M-5M populations",5.8,228.5,2.1,25.8,104.3,96.3
"Mississippi","MS",1981,2530000,"1M-5M populations",8.5,304.6,12.6,26.0,81.4,184.6
"Missouri","MO",1981,4938000,"1M-5M populations",7.6,540.2,10.4,29.7,215.2,284.8
"Montana","MT",1981,792000,"1M- populations",6.8,253.0,3.4,22.1,38.1,189.4
"Nebraska","NE",1981,1576000,"1M-5M populations",4.2,181.5,3.1,20.5,70.7,87.2
